"sentenceA"	"sentenceB"	"label"
"Erstens bedeutet dies, dass die Konkurrenz um Partner die meisten Menschen dazu bringt, zu viel Geld zu sparen."	"Das bedeutet, dass der Wettlauf um Partner viele Menschen dazu bringt, viel Geld zu sparen."	"entailment"
"Plötzlich befinden Sie sich auf einem anderen Kopfsteinpflasterplatz."	"Sie werden durch eine enge Gasse gehen."	"contradiction"
"weil du Spaß hast"	"Weil du Spaß hast"	"entailment"
"Trader Vic eröffnete grelle Restaurants mit polynesischem Thema. Arthur Godfrey brachte die Ukulele ins Fernsehen; Burt Lancaster und Debra Kerr rollten im feuchten Sand von Oahu; und Jet Air Service brachte Urlauber zu Hunderttausenden."	"Händler Vic eröffnete Restaurants, die die Einheimischen beleidigten."	"neutral"
"Obwohl das Bett aus den 1680er Jahren stammt, wurde es nie von Königen geschlafen."	"Niemand königlichen Blutes hatte jemals auf dem Bett geschlafen."	"entailment"
"Ja! Ich atmete."	"Ich war erleichtert."	"neutral"
"Aber das war vor vielen, vielen Jahren oh gut und ich habe wirklich meine Freizeit, ich gehe normalerweise Aerobic und"	"Ich mag kein Aerobic."	"contradiction"
"Er versicherte ihr, ich hätte nie wirklich gewusst, was Liebe sein könnte, bis du mitgekommen bist."	"Er stellte sicher, dass sie wusste, dass er nicht wusste, was Liebe war, bis sie mitkam."	"entailment"
"Ähm, für Monate und Monate und Monate und es war ein Genre, an dem ich nicht im geringsten interessiert war, und normalerweise, wenn ich von einem Film höre, der sehr gut sein soll"	"Der Film hat mich nicht interessiert."	"neutral"
"b) Hat grundsätzlich nicht gekündigt, nachdem Clinton Lügen eingestanden hat."	"Beenden Sie wegen Clintons Lügen"	"contradiction"
"Wir sind so nah."	"Wir sind sehr weit gegangen."	"neutral"
"das macht es immer noch richtig"	"Nach all dieser Zeit, ja, das macht es immer noch"	"entailment"
"Aerobic Ja, ich mag Aerobic"	"Ich mag Aerobic besser als Cardio."	"neutral"
"Wahr genug!"	"Alles andere ist ungenau."	"neutral"
"Überweisungs Papier"	"Das Transferpapier zeigt die Übertragung."	"entailment"
"uh-huh Kantalupe ist schwer zu züchten und schmeckt nach ihnen. Ich meine, sie sind einfach genug, sie werden leicht genug wachsen, aber man kann keinen Geschmack bekommen"	"Es ist schwer, Melonen mit Geschmack anzubauen, aber wir versuchen es jedes Jahr."	"neutral"
"Im Juli 1936 erhob sich der größte Teil der Armee, angeführt von General Francisco Franco mit Unterstützung der Monarchisten, Konservativen, der Geistlichen und der rechten Falange, gegen die Regierung in Madrid."	"General Franco hatte sogar die Unterstützung der Armee, als er sich gegen die Regierung erhob."	"contradiction"
"Also ja, ich werde mir die Hände schmutzig machen und ich werde mich für richtig verdammt halten."	"Ich werde etwas Schlimmes tun, aber es ist mir egal, was passiert."	"neutral"
"[Hillary] bleibt im Trump Tower, wenn sie in New York ist."	"Hilary Clinton entscheidet sich für einen Aufenthalt im Trump Tower."	"neutral"
"Eine Quelle, die durch die Felsen filtert, ist die Quelle des Mineralwassers der Insel."	"Sie werden kein Mineralwasser auf der Insel finden."	"contradiction"
"und natürlich gibt es auch einen anderen Aspekt in Bezug auf die Verletzung der Privatsphäre. Ich habe nur darüber nachgedacht, dass es ein Profi ist, und natürlich gehören Sie wahrscheinlich einer oder mehreren professionellen Organisationen an, und das heißt, dass einige der Organisationen ihre Mailinglisten verkaufen"	"Keine der Organisationen, mit denen Sie verbunden sind, verkauft ihre Mailinglisten."	"contradiction"
"Ich habe dir Tee gebracht. Frau Vandemeyer antwortete nicht."	"Frau Vandemeyer konnte nicht mehr sprechen."	"neutral"
"Der 15-Jährige starb, als die Band auf seinen Kopfhörern spielte."	"Der Teenager lebt."	"contradiction"
"Am wichtigsten ist, dass Indonesiens Volksbewegung bei weitem nicht so gut organisiert und vereint ist wie die Oppositionsbewegungen des Iran oder sogar der Philippinen."	"Indonesiens Volksbewegung ist organisierter als die Oppositionsbewegung auf den Philippinen."	"contradiction"
"LA ist aber auch mit Abenteuern und vielleicht sogar Gefahren verbunden, einschließlich Erdbeben, Überschwemmungen, Verbrechen und Skandalen von OJ Simpson-Ausmaßen."	"LA hat einen guten Ruf aufgrund früherer Erdbeben, Überschwemmungen, Verbrechen und Skandale."	"entailment"
"Ich denke, sie rasieren es"	"Ich bin mir ziemlich sicher, dass sie es einfach wachsen lassen."	"contradiction"
"Ich sehe ihre Theorie darin, dass ich, wenn ich umzingelt bin und erwischt werde, versuchen werde, mich durchzuarbeiten, und sie werden mich nicht lebendig nehmen"	"In ihrer Theorie geht es darum, um die Flucht zu kämpfen."	"entailment"
"Der Entdecker rief: &quot;Es ist nur ein Eingeborener dieses Planeten."	"Der Explorer sagte, dass es ein Eingeborener war."	"entailment"
"Es gab sporadische Revolteversuche, die oft von abgelegenen Berghochburgen aus gestartet wurden, wo Rebellen in Sicherheit überleben konnten."	"Die Revolteversuche hörten keinen Augenblick auf."	"contradiction"
"Harrison D. McIver III, Geschäftsführer von MALS, sagte, die Agentur sei sehr zufrieden mit dem Zuschuss der Community Foundation."	"MALS erhielt einen Zuschuss von 50.000 USD von der Community Foundation."	"neutral"
"uh uh-huh ich habe ich denke meistens was das Handwerk angeht ich habe um einige Nadelspitzen gemacht und ich habe meistens Kreuzstiche gemacht, die ich gemacht habe uh wie um eine, die ich für beide Kinder gemacht habe, sind wie oh sie &#39; Re Plaketten mit Ihnen kennen verschiedene Arten von Tieren und dann haben Sie ihr Geburtsdatum auf ihnen und dann haben Sie ein kleines Bild von ihnen und Sie rahmen sie und Sachen, aber nichts Beständiges"	"Ich habe noch nie Kreuzstich gemacht"	"contradiction"
"Unternehmen, die kostenlose oder unentgeltliche Dienstleistungen anbieten, können ein besseres Verhältnis von Anwalt zu Mandant aufrechterhalten, da sie sich häufig auf bestimmte Fälle spezialisieren, sagte Hall."	"Hochrangige Anwaltskanzleien haben häufig eine Pro-Bono-Abteilung."	"neutral"
"Ja, ich habe Home Alone vor ein paar Tagen mit ein paar Freunden gesehen. Ich wollte es sehen, weil es sehr empfohlen wurde"	"Ich habe Home Alone gesehen, weil es empfohlen wurde."	"entailment"
"Nach dieser letzten Wahl ist klar, dass die Franzosen nicht bereit sein werden, sich einer ernsthaften Haushaltsdisziplin zu unterwerfen."	"Die Franzosen wollen ernsthafte Haushaltskontrolle, nicht wahr?"	"contradiction"
"Super-Paradise in der nächsten Bucht ist ein schwuler Strand mit optionaler Kleidung."	"Super-Paradise zieht viele schwule Leute an."	"neutral"
"Er glaubt nicht an Nationalparks (private Stewards üben die richtige Verwaltung aus)."	"Er glaubt nicht an einige öffentliche Räume."	"entailment"
"Gleichzeitig nahmen die Stadtstaaten an Einfluss auf das südgriechische Festland zu."	"Das südgriechische Festland begann unter die Herrschaft der Stadtstaaten zu geraten."	"entailment"
"Die Verfassung erlaubt es der Regierung nicht, Prozessparteien und ihre Anwälte auf diese Weise einzuschränken."	"Die Verfassung sieht nicht vor, dass die Regierung Rechtsstreitigkeiten länger als einen Tag in Gefängniszellen festhält."	"neutral"
"Er ist ein Filmkritiker. Oh, du bist ein Filmkritiker auf Kanal acht in Dallas"	"Dallas hat die besten Filmkritiker des Landes."	"neutral"
"Das integrierte Planungsmodell (IPM) wurde verwendet, um alle zukünftigen Prognosen der Emissionen von Stromerzeugungsquellen abzuleiten."	"Das integrierte Planungsmodell half bei der Erstellung von Prognosen zur Emission von Stromerzeugung"	"entailment"
"Darüber hinaus hat Professor Aleinikoff mehrere Bücher und unzählige Artikel zu Einwanderung, internationaler Migration und Verfassungsrecht veröffentlicht."	"Aleinikoff veröffentlichte Bücher, während er an der NYU unterrichtete."	"neutral"
"Technisch gesehen hatte er natürlich das Recht, den Satz nicht zu beenden."	"Er versuchte nicht einmal zu sprechen."	"contradiction"
"CA&#39;DAAN&#39;S UNCLE WEISS, WER SIE SIND UND WARUM SIE HIER SIND."	"Ca&#39;daans Onkel wusste viel über die Situation."	"entailment"
"und selbst wenn du fünf Jahre lang daran festhältst und ein bisschen Geld in das Geld steckst, wirst du es mit einer Prämie wieder zurückbekommen, genau wie wenn du Geld in eine Bank steckst, ist es erzwungenes Sparen"	"Wenn Sie kein Geld hineinstecken, erhalten Sie trotzdem Geld zurück."	"contradiction"
"Mit orientalischen und byzantinischen Dekorationselementen, die die Interessen der Pisanischen Republik in Übersee widerspiegeln, ist die vierstufige Arkadenfassade über drei Veranden ein Meisterwerk der Anmut und Zartheit."	"Die Haupteinflüsse der Pisanischen Republik stammten aus orientalischen und byzantinischen Reichen."	"neutral"
"Das Beth Hatefutsoth oder Museum der Diaspora (die Diaspora bezieht sich auf die weltweite Verbreitung des jüdischen Volkes) ist wahrscheinlich das schönste Museum in Israel und sicherlich das innovativste, enthält jedoch keine einzige Ausstellung jeden Alters."	"Obwohl das Museum der Diaspora eines der besten Museen Israels ist, sind keine alten Artefakte ausgestellt."	"entailment"
"Sie können."	"Sie werden es nicht tun."	"neutral"
"Venedig, das im 6. Jahrhundert von Flüchtlingen auf dem Festland vor lombardischen Angreifern auf seinen Inseln und Lagunen gegründet wurde, profitierte von einer privilegierten Beziehung zu Byzanz und einer ungehemmten Bereitschaft, mit Muslimen und anderen weiter östlich handelnden Ländern zu handeln."	"Infolgedessen eröffnete Venedig neue Handelswege und die Wirtschaft wuchs."	"neutral"
"nein nein es ist schrecklich"	"Das ist schrecklich."	"entailment"
"Mir ist jetzt klar, dass die Kameras und Mikrofone wahrscheinlich von [the Globe] installiert wurden, während ich unterwegs war, berichtet sie."	"Die Kameras und Mikrofone waren in ihrer Umkleidekabine installiert."	"neutral"
"Diese Führungskräfte erkennen das Geschäftstransformationspotenzial der IT und positionieren ihre CIOs auch als Change Agents, die für die Anwendung von Technologie verantwortlich sind, um wesentliche Verbesserungen bei grundlegenden Geschäftsprozessen und -abläufen zu erzielen."	"Diese Führungskräfte glauben nicht, dass es ein Potenzial hat, ein Unternehmen zu transformieren."	"contradiction"
"Der Internet-Anzeigenmarkt wächst zwei- bis dreimal so schnell wie jedes andere Medium."	"Der Markt für kommerzielle Internet-Werbeflächen wächst von Tag zu Tag mehr."	"entailment"
"Es ist fast ein Luxus"	"Es ist hochklassig."	"entailment"
"Sie kannten ihn jetzt als Spion und würden ihn höchstwahrscheinlich kurz zusammenziehen."	"Er machte nur den kleinsten Fehler, der seine akribische Verkleidung zerstörte"	"neutral"
"Es ist wahr, dass kein Juror sicher sein kann, ob sein Zweifel mehr oder weniger als 5 Prozent beträgt, aber es ist ebenso wahr, dass kein Juror sicher sein kann, ob sein Zweifel mehr oder weniger als vernünftig ist."	"Es ist wahr, dass Juroren niemals Zweifel haben und sich immer ihrer selbst sicher sind."	"contradiction"
"Tuppence hörte andere Schritte hinter sich."	"Tuppence hörte einige Hörner hinter sich blasen."	"contradiction"
"Aus 20.000 Einwohnern ist es zu einer 2,5 Millionen Einwohner zählenden Metropole mit dicht gedrängten Wolkenkratzern und einigen der höchsten Wachstumsindustrien Chinas gewachsen."	"Von 20.000 Einwohnern ist es geschrumpft und hat heute 10.000 Einwohner."	"contradiction"
"Mal sehen, ob Sie in Plano sind und ich in Plano bin, sind Sie in Ost-Plano oder West-Plano"	"Wir sind beide in Plano, auf welcher Seite stehen Sie?"	"entailment"
"Das Musee de Dieppe, auch bekannt als Ceteau-Musee, befindet sich im Schloss aus dem 15. Jahrhundert in der Rue de Chastes und verfügt über eine gute Sammlung von Modellschiffen und Schnitzereien aus Elfenbein aus dem 18. Jahrhundert, als Elefantenstoßzähne einen wichtigen Import aus dem 18. Jahrhundert darstellten Afrika und Asien."	"Das Musée de Dieppe ist ein guter Ort für Touristen, die sich für seltene Materialien wie Gold und Elfenbein interessieren."	"neutral"
"uh-huh ja, sie sind großartig. Du hast Recht. Ich denke, wir haben unsere Zeit damit verbracht, meiner Tochter zu helfen, etwas zu tun"	"Ich muss meiner Tochter helfen."	"entailment"
"Neben ihm war eine kürzere Gestalt: ein pummeliger Mann mit einem dünnen Schnurrbart, auf den der ägyptische Kopfschmuck seltsam fehl am Platz wirkte."	"Abgesehen vom ägyptischen Kopfschmuck trug der pummelige Mann einen schlecht sitzenden grauen Anzug."	"neutral"
"Ich faltete meine Karte auseinander."	"Meine Karte war zuvor gefaltet worden."	"entailment"
"Ich bin stolz zu sagen, dass wir dem Kongress und dem amerikanischen Volk im Geschäftsjahr 2000 gute Dienste geleistet haben."	"Wir haben im Geschäftsjahr 2000 gute Arbeit für Amerika geleistet."	"entailment"
"Das ist Bradleys echte Casting-Couch."	"Bradley hat eine Casting-Couch."	"entailment"
"Es ist nach wie vor die wichtigste Schule für Islamwissenschaft und zieht über 85.000 Schüler aus dem Nahen Osten an."	"Die Schule zieht nur Schüler aus Lateinamerika an."	"contradiction"
"Das berühmte Rock Fort, das Hauptaugenmerk dieser Schlachten, erhebt sich über der Stadt auf dem großen Hügel aus massivem Granit, der der Stadt ihren Namen gab."	"Rock Fort liegt direkt vor der Sandküste, der ersten Verteidigungslinie gegen Piraten."	"contradiction"
"Gegen seinen Kollegen sagt der Pittsburgh Medical Examiner Cyril Wecht, dass mehrere SIDS-Todesfälle in einer Familie nicht automatisch Mord bedeuten."	"Diejenigen, die mehr als einen Fall von SIDS-Todesfällen haben, werden als Mörder angesehen."	"contradiction"
"Service Die Führungskraft leitet das Regionalbüro bei der Verfolgung herausragender Leistungen in allen anwendbaren Programmbereichen und hilft als Teammitglied dem Service Delivery Network und dem VBA insgesamt, die Leistung zu verbessern."	"Die Exekutive ist nicht an der Leitung des Regionalbüros beteiligt."	"contradiction"
"um-hum um klingt wie mein Nachbar"	"Mein Nachbar könnte diese Geräusche machen."	"entailment"
"Deshalb können wir sicher sein, Fremde zu sein"	"Fremde zu sein ist sicher, weil"	"entailment"
"Diese erschreckende Geschichte von der erdrückenden Liebe einer Mutter zu einem Sohn wird mich verfolgen, lange nachdem ich die Details der Übergabezeremonie vergessen habe."	"Ich werde mich noch lange an diese Geschichte erinnern."	"entailment"
"Poirot breitete entschuldigend die Hände aus."	"Poirot bewegte entschuldigend die Hände."	"entailment"
"ähm und sie sind mit dem Trinken beschäftigt"	"Sie trinken nicht."	"contradiction"
"Schulen für ländliche Gebiete."	"Es gibt keine Schule für ländliche Gebiete."	"contradiction"
"Die Personen, die an den Organisationen beteiligt waren, hatten verschiedene technische und geschäftliche Hintergründe, z. B. Spezialisten für Informationssicherheit, Informatiker, Ingenieure, Wirtschaftsprüfer, Anwälte, Strafverfolgungsbeamte und medizinische Fachkräfte."	"Die Mitarbeiter der Organisation mussten ihre Berufserfahrung nachweisen, bevor sie teilnehmen konnten."	"neutral"
"Unsere gegenwärtige Haltung ist ein wenig melodramatisch."	"Wir müssen aufwachen und hart handeln."	"contradiction"
"Sie ist das Schönste, was ich je gesehen habe. &quot;"	"Sie ist schrecklicher als jeder andere, den ich jemals gesehen habe."	"contradiction"
"Wenn Sie die Links im Text verpasst haben, klicken Sie hier, um mehr über die Studie der Yale University Press und einige Beispiele für Conleys widersprüchlichen Prosastil zu erfahren."	"Sie haben auch Links zu anderen Artikeln zum Thema."	"neutral"
"Ich werde den verdammten Computer bauen."	"Gut, ich werde den verdammten Computer bauen, du fauler Trottel."	"neutral"
"Aber Sie wissen, wenn sich viele Wohnungsbewohner das nicht leisten können, wissen Sie, dass die meisten Kinder heutzutage in finanzielle Situationen geraten sind, in denen sie die ganze Zeit arbeiten müssen"	"Viele Leute können sich das nicht leisten, während andere sich mit aller Kraft weigern, überhaupt etwas zu bezahlen."	"neutral"
"Dieser Rückgang des Zahlungspostvolumens macht 69 Prozent des Rückgangs des Volumens des HH-zu-NHH-Sektors aus und belief sich zwischen 1990 und 1997 auf 3,6 Milliarden Stück (siehe Tabelle 1)."	"Im Jahr 2001 stieg das Zahlungspostvolumen."	"neutral"
"Etwas außerhalb der Discovery Bay befinden sich Runaway Caves, die leicht zugänglich und sicher zu erkunden sind."	"Runaway Caves in der Nähe der Discovery Bay sind für Entdecker zugänglich."	"entailment"
"Nun, haben Sie jemals darüber nachgedacht, nach Louisiana zu kommen, das Sie besuchen möchten?"	"Haben Sie darüber nachgedacht, Louisiana zu besuchen?"	"entailment"
"Hast du hier einen Safe? Tophams Augenbrauen hoben sich."	"Topham fragte überrascht: &quot;Haben Sie einen Safe an diesem Ort?&quot;"	"entailment"
"und doch hast du jemanden, der ein Raubverbrechen begeht und fünfundzwanzig Jahre im Gefängnis verbringt. Ich meine, es ist, als hätten wir die Dinge irgendwie durcheinander gebracht. Du weißt, was ich meine"	"Die Strafen passen nicht zum Verbrechen, weil Menschen manchmal nur einen Raubüberfall begehen und dennoch lange im Gefängnis landen."	"entailment"
"Anscheinend wurde mein Plan, die wirklich guten rauszuwerfen, jetzt aufgedeckt."	"Mein Plan, die Guten zu behalten, ist immer noch privat und geheim."	"contradiction"
"Sie ist bereit, sich darauf einzulassen, aber du weißt, ich mag es, wenn ich draußen bin und ich bin sowieso ein Jäger und ein Fischer, aber du weißt, ich weiß, dass ich wenigstens raus kann und ein paar Stunden Golf spielen kann und"	"Ich verbringe gerne Zeit im Freien, jage oder fische."	"entailment"
"Wenn ein Medium vorhanden wäre, könnten wir vielleicht wunderbare Ergebnisse erzielen. &quot;"	"Das Medium würde keine Hilfe sein."	"contradiction"
"Klingt nach dem Internationalen Olympischen Komitee, aber jede Gruppe, die in Utah Nutten finden könnte, scheint mir alles andere als unfähig."	"Die Gruppe hat bewiesen, dass es in Utah keine Nutten gibt."	"contradiction"
"Tarif- und Service-Anpassungen, die vom Postdienst und den Mailern vereinbart wurden, sind gesetzlich zulässig, wenn drei Bedingungen erfüllt sind"	"Es gibt Bedingungen, die für Tarif- und Service-Anpassungen erfüllt sein müssen."	"neutral"
"Die für die Analyse verwendeten Daten sind im Anhang beschrieben."	"Die für die Analyse verwendeten Daten werden im Anhang erläutert."	"entailment"
"gefolgt von einer Zahlungsermächtigung."	"Als nächstes kam die Zahlungsautorisierung."	"entailment"
"Also musste ich zurück und zwei weitere kaufen, oh Herr, ich war so frustriert darüber, aber ähm"	"Ich hatte nur geplant, einen zu kaufen."	"neutral"
"Traditionell enden die Feierlichkeiten am 15. Tag, Chap Goh Meh, aber die Handelskammer verlängert diese hochprofitable Saison normalerweise gerne um ein oder zwei Wochen."	"Der Kammerhandel verlängert die profitable Saison normalerweise um ein oder zwei Wochen nach den Feierlichkeiten."	"entailment"
"Die beste verfügbare Schätzung der WTP zur Vermeidung eines Falls einer chronischen Bronchitis (CB) stammt von Viscusi et al."	"Viscusi hilft, Bronchitis zu vermeiden."	"entailment"
"aber ich denke, das ist es, was meine Meinung dazu ist, also was jetzt"	"Ich denke, das ist meine Meinung. Was werden wir jetzt tun?"	"entailment"
"Hallo, ich mag es. Ich mag es. Ich liebe es, alle Arten von Basteln und Nähen zu machen. Ich finde, das ist meine einzige Veröffentlichung"	"Ich mache sie die ganze Zeit."	"neutral"
"Es ist ein allmächtiges Glück, dass sie den Draht nicht mitgenommen hat."	"Es wäre schrecklich gewesen, wenn sie den Draht genommen hätte."	"neutral"
"Und wenn Sie jetzt wirklich nach Rennie suchen, finden Sie ihn unten auf dem Kurs. «Shannons Lächeln war verschwunden."	"Rennie ist unten auf dem Kurs und das machte Shannon unglücklich."	"entailment"
"Ein Vergleich der tatsächlichen Anzahl erfolgreich getesteter Funktionen mit der im Erfassungsplan geplanten Anzahl erfordert beispielsweise, dass Systemtests durchgeführt werden."	"Es gibt keinen Plan oder Bedarf für Systemtests."	"contradiction"
"Jon stach dem Mann ins Auge und zog es ihm über die Kehle."	"Jon stach den Mann in den linken Zeh."	"contradiction"
"und nun ja, aber du musst es in Kombination mit einer Nähmaschine benutzen, du kannst deine Nähmaschine nicht wegwerfen, du brauchst sie, um Dinge wie Knopflöcher zu machen und ähm"	"Es gibt noch eine andere Maschine, die Sie interessieren könnte."	"neutral"
"Unter Jesu Füßen befindet sich eine lateinische Inschrift, die besagt, dass das Tympanon das Werk eines Mannes war, Gislebertus (Gilbert)."	"Das Tympanon wurde möglicherweise von einem Mann namens Gislebertus geschaffen."	"entailment"
"Im Jahr 2001 entwickelte LSC eine Methode zur Messung anderer wichtiger Verantwortlichkeiten, die Programme übernehmen, um Kunden zu helfen, zusätzlich zur Behandlung von Kundenfällen."	"LSC hat sich einen Weg geliehen, um Kundenfälle zu messen."	"contradiction"
"Aber er mochte die portugiesischen und spanischen katholischen Missionare nicht, von denen er glaubte, dass sie die traditionellen japanischen Werte untergraben."	"Der Verlust traditioneller japanischer Werte war ein Grund dafür, dass er eine schlechte Meinung zu katholischen Missionaren hatte."	"entailment"
"Abweichungen von den Standards bedurften jedoch nur der Zustimmung der Konzernleitung."	"Die Führungskraft der Gruppe wird alle Abweichungen genehmigen, die wir ihnen zeigen."	"neutral"
"Die wichtigsten Touristenattraktionen von Shenzhen sind die riesigen Themenparks."	"Die meisten Touristen besuchen Shenzhen wegen seiner Themenparks."	"entailment"
"Im Obergeschoss öffnete Conrad eine Tür und Tommy betrat einen kleinen Raum."	"Tommy war sich nicht sicher, ob der kleine Raum etwas bedeutete."	"neutral"
"Ja, das Problem ist, wenn jemand zu mir gekommen wäre und gesagt hätte, es würde dich fünfhundert Dollar kosten, um deinen Hund am Leben zu erhalten. Was willst du tun? Ich hätte wahrscheinlich nachgedacht, aber was sie Nun, was sie tun, ist, dass sie sagen, es wird kosten"	"Ich würde gerne 10.000 Dollar für die Gesundheit meines Hundes bezahlen."	"contradiction"
"FNAC gehört zur neueren, jüngeren Generation von Kaufhäusern."	"Die FNAC war ein Lieblingsgeschäft von Marie Antoinette, die dort alle ihre Perücken kaufte."	"contradiction"
"Obwohl das Clubhaus und das historische große Haus von üppiger Vegetation getarnt sind, sind die gepflegten Grüns des Golfplatzes auf beiden Seiten der Hauptküstenstraße zu sehen, zusammen mit dem Wasserrad der Plantage, das renoviert wurde und sich immer noch mit dem Gewicht von dreht Flusswasser."	"Der Golfplatz wurde ursprünglich um eine bestehende alte Straße gebaut."	"neutral"
"Madeira ist ein Fleck mitten im Atlantik und enthält alle Elemente einer mysteriösen Traumwelt."	"Madeira liegt mitten im Pazifischen Ozean"	"contradiction"
"OK, die Türpolitik war grausam, aber zumindest hielt sie den Klatschkolumnisten von Village Voice, Michael Musto, fern."	"Es wäre ein schwerwiegender Fehler gewesen, Village Voice-Klatschkolumnist in der Puppe Michael Musto zuzulassen."	"neutral"
"Brücken verbinden das rechte (Norden) und das linke Ufer über die beiden Inseln in der Mitte, Ile de la Cite und Ile St-Louis."	"Es besteht keine Verbindung zwischen dem rechten und dem linken Ufer."	"contradiction"
"Im Juni letzten Jahres teilte das FBI sechs Mitgliedern des Kongresses mit, dass die chinesische Regierung beabsichtige, illegal Geld für ihre Kampagnen beizutragen."	"Die chinesische Regierung bestreitet die angeblichen Absichten."	"neutral"
"Simulationen sollten nicht als Prognosen für die wirtschaftlichen Ergebnisse in 50 oder 75 Jahren in der Zukunft angesehen werden."	"Simulationen können nicht als Prognosen für die zukünftigen wirtschaftlichen Ergebnisse angesehen werden."	"entailment"
"Ich ging aus dem Raum und gab dem fetten Mann keine Zeit, sich neu zu gruppieren."	"Ich habe Fat Man keine Zeit gegeben, mich neu zu gruppieren."	"entailment"
"Nun, er hat es getan, Sir."	"Sir, nun, er hat es nicht getan."	"contradiction"
"Vor dem 6. Juni 1944 war der friedliche Küstenabschnitt westlich von Cabourg von Ouistreham bis zur Halbinsel Cotentin einfach als Cete du Calvados bekannt, eine flache, undramatische Küste, die von einigen unspektakulären Kreidefelsen und Sanddünen unterbrochen wurde."	"Die Cete du Calvados war vor 1944 ein ruhiger, unauffälliger Küstenabschnitt."	"entailment"
"Poussins bittersüße arkadische Hirten; Watteaus melancholische Gilles und anmutige Einschiffung nach Cythera; Dela? Croix &#39;Freiheit, die das Volk führt; und Courbets durchdringende Studie über das bürgerliche Leben in der Provinz, Funeral at Ornans."	"Courbet studierte das Leben in der Provinz unter den Menschen in Nordfrankreich."	"neutral"
"Am interessantesten sind die Macchiaioli-Schulen (vom Verb macchiare bis fleckig oder fleckig) der toskanischen Vorimpressionisten, die sich in den 1860er Jahren im Cafe Michelangelo in Florenz trafen, um eine neue Freiheit von akademischer Kunst zu suchen, die mit der politischen Befreiung des Risorgimento einherging."	"Sie trafen sich nur einmal im ersten Jahr des Treffens, trafen sich dann aber alle 4 Wochen 5 Jahre später."	"neutral"
"Der Postdienst sollte die Zustellfrequenz reduzieren."	"Der Postdienst könnte zweimal pro Woche liefern."	"neutral"
"Ich wünschte, ich wüsste, worum es ging. &quot;Ich dachte an Mrs. Raikes &#39;Zigeunergesicht und Evelyn Howards Warnungen, entschied mich aber weise, meinen Frieden zu halten, während Cynthia jede mögliche Hypothese ausschöpfte und fröhlich hoffte:&quot; Tante Emily wird senden ihn weg und wird nie wieder mit ihm sprechen. &quot;Ich wollte unbedingt John erreichen, aber er war nirgends zu sehen."	"Ich wollte mit John sprechen, konnte ihn aber nicht finden."	"entailment"
"Sie waren die ganze Zeit dorthin gefahren."	"Sie hatten die Anweisungen sorgfältig befolgt."	"neutral"
"Aber ähm, Sie könnten genauso gut ein paar tausend Dollar von Ihrem Gehalt abbekommen, das Sie für diese medizinische Versorgung bezahlen müssen, und dann habe ich keine Kinder, also mache ich mir keine Sorgen um die Familienversicherung"	"Die Finanzierung der medizinischen Versorgung für eine Person kostet nur einige Tausend."	"neutral"
"Sie sind einige, sie sind einige, sie sind einige, was Sie als primitiv bezeichnen würden. Ich meine, es gibt keine wirklichen Einrichtungen und andere, die sie haben"	"Der Campingplatz ist primitiv."	"neutral"
"Puerto Rico litt unter ständigen Angriffen."	"Puerto Rico wurde nie angegriffen."	"contradiction"
"Verbringen Sie für eine andere Vision des alten China ein paar ruhige Momente im klassischen Lou Lim Ieoc Garten."	"Der Lou Lim Ieoc Garten erinnert an das alte China."	"entailment"
"Oh Mann, es ist eines dieser Dinge an der Oberfläche, von denen du weißt, dass es eine großartige Idee ist. Es ist wie ein Witz, den ich einmal über eine Elefantenfußsuppe gehört habe. Du weißt, dass es einfach ist, wenn du einen Elefantenfuß findest"	"Es ist rundum großartig in allen Aspekten"	"contradiction"
"Bewertung der Branche / Universität"	"Universitätsstudien sind erforderlich"	"neutral"
"Ich würde keine zehn Schritte bekommen."	"Ich konnte es schaffen, fünf Schritte zu machen."	"neutral"
"Ein RFP sollte klar und umfassend sein und die Elemente enthalten, die in den Leitlinien der GSA zu Standard-Werbedokumenten beschrieben sind."	"Ein RFP sollte nicht die Faktoren berücksichtigen, die in den RSA-Leitlinien zu Standard-Werbedokumenten beschrieben sind."	"contradiction"
"zwei Punkt eins Schlüssel und du bist verloren"	"Sie verlieren sich mit 2.1 Schlüsseln."	"entailment"
"Wie haben Sie die Nachrichten gehört? Ich fragte."	"Ich habe gefragt, wie Sie von den Neuigkeiten erfahren haben."	"entailment"
"Die Food and Drug Administration (FDA) führte eine Kosten- und Nutzenanalyse durch, um die wirtschaftlichen Auswirkungen der endgültigen Regelung zu bewerten."	"Gemäß der FDA wurde eine Kosten- und Nutzenanalyse erstellt, die Einfluss auf die endgültige Regel hatte."	"entailment"
"Ich darf meinen Platz behalten, sagte Bell und fügte hinzu, dass er ohne Anwalt nicht gewusst hätte, was er vor Gericht sagen soll, und den Fall verloren hätte."	"Bell sagte, der Anwalt habe ihm vor Gericht geholfen."	"entailment"
"Ja, da ist da, da gibt es viel einfachere Wege, um aus der Pflicht der Jury herauszukommen"	"Die Pflicht der Jury ist eine Aufgabe, die niemand gerne erledigt."	"neutral"
"Die vier Jungen schrien und schwangen wild dünne Stöcke."	"Die erwachsenen Männer warfen Stöcke herum."	"contradiction"
"Der Sonne war etwas passiert."	"An der Sonne war nichts auszusetzen."	"contradiction"
"Leerzeichen zeichnen?"	"Sie zeichnen kein Leerzeichen."	"contradiction"
